,race_id,season,race_number,date,site,cars,winner,start,make/model,len,sfc,miles,purse,pole,cautions,caution_laps,speed,lc,href
0,0,2002,1,2002-02-17,Daytona,43,Ward Burton,19,Dodge,2.5,P,500,10573184.0,185.831,9,38,142.971,20,https://www.racing-reference.info/race-results/2002_Daytona_500/W
1,1,2002,2,2002-02-24,Rockingham,43,Matt Kenseth,25,Ford,1.017,P,400,2949536.0,156.008,10,57,115.478,17,https://www.racing-reference.info/race-results/2002_Subway_400/W
2,2,2002,3,2002-03-03,Las Vegas,43,Sterling Marlin,24,Dodge,1.5,P,401,4137735.0,172.85,6,25,136.754,22,https://www.racing-reference.info/race-results/2002_UAW-Daimler_Chrysler_400/W
3,3,2002,4,2002-03-10,Atlanta,43,Tony Stewart,9,Pontiac,1.54,P,501,2911575.0,191.542,7,37,148.443,34,https://www.racing-reference.info/race-results/2002_MBNA_America_500/W
4,4,2002,5,2002-03-17,Darlington,43,Sterling Marlin,11,Dodge,1.366,P,400,2834398.0,170.089,5,40,126.07,11,https://www.racing-reference.info/race-results/2002_Carolina_Dodge_Dealers_400/W
5,5,2002,6,2002-03-24,Bristol,43,Kurt Busch,27,Ford,0.533,P,267,3323726.0,127.216,14,101,82.281,14,https://www.racing-reference.info/race-results/2002_Food_City_500/W
6,6,2002,7,2002-04-08,Fort Worth,43,Matt Kenseth,31,Ford,1.5,P,501,4676954.0,194.224,7,41,142.453,24,https://www.racing-reference.info/race-results/2002_Samsung_Radio_Shack_500/W
7,7,2002,8,2002-04-14,Martinsville,43,Bobby Labonte,15,Pontiac,0.526,P,263,2855415.0,94.181,14,104,73.951,19,https://www.racing-reference.info/race-results/2002_Virginia_500/W
8,8,2002,9,2002-04-21,Talladega,43,"Dale Earnhardt, Jr.",4,Chevrolet,2.66,P,500,3592402.0,186.532,3,19,159.022,26,https://www.racing-reference.info/race-results/2002_Aaron%27s_499/W
9,9,2002,10,2002-04-28,Fontana,43,Jimmie Johnson,4,Chevrolet,2.0,P,500,3697421.0,187.432,5,24,150.088,20,https://www.racing-reference.info/race-results/2002_NAPA_Auto_Parts_500/W
10,10,2002,11,2002-05-05,Richmond,43,Tony Stewart,3,Pontiac,0.75,P,300,3018747.0,127.389,14,103,86.824,13,https://www.racing-reference.info/race-results/2002_Pontiac_Excitement_400/W
11,11,2002,12,2002-05-26,Charlotte,43,Mark Martin,25,Ford,1.5,P,600,4028334.0,186.464,9,48,137.729,21,https://www.racing-reference.info/race-results/2002_Coca-Cola_Racing_Family_600/W
12,12,2002,13,2002-06-02,Dover,43,Jimmie Johnson,10,Chevrolet,1.0,P,400,3450082.0,154.939,7,40,117.551,14,https://www.racing-reference.info/race-results/2002_MBNA_Platinum_400/W
13,13,2002,14,2002-06-09,Pocono,43,Dale Jarrett,13,Ford,2.5,P,500,2930864.0,,5,17,143.426,17,https://www.racing-reference.info/race-results/2002_Pocono_500/W
14,14,2002,15,2002-06-16,Michigan,43,Matt Kenseth,20,Ford,2.0,P,400,3087454.0,189.071,4,16,154.822,15,https://www.racing-reference.info/race-results/2002_Sirius_Satellite_Radio_400/W
15,15,2002,16,2002-06-23,Sonoma,43,Ricky Rudd,7,Ford,1.99,R,219,3277733.0,93.476,3,9,81.007,10,https://www.racing-reference.info/race-results/2002_Dodge_Save_Mart_350/W
16,16,2002,17,2002-07-06,Daytona,43,Michael Waltrip,7,Chevrolet,2.5,P,400,3748119.0,185.041,9,39,135.952,6,https://www.racing-reference.info/race-results/2002_Pepsi_400/W
17,17,2002,18,2002-07-14,Chicago,43,Kevin Harvick,32,Chevrolet,1.5,P,401,3691183.0,183.051,7,35,136.832,19,https://www.racing-reference.info/race-results/2002_Tropicana_400/W
