,year,age,completed,win,t5,t10,pole,laps,led,earnings,rank,avg_start,avg_finish,running_at_finish,lead_lap_finishes,dnq,withdrew,href
0,2002,26,36 of 36,3,6,21,4,10521,838,3788268,5,14.3,13.5,33,25,0,0,/season-stats/2002/W
1,2003,27,36 of 36,3,14,20,2,10492,644,7745530,2,12.3,11.4,33,29,0,0,/season-stats/2003/W
2,2004,28,36 of 36,8,20,23,1,10054,1312,8275721,2,10.5,12.1,29,27,0,0,/season-stats/2004/W
3,2005,29,36 of 36,4,13,22,1,10126,547,8336712,5,12.2,12.7,31,28,0,0,/season-stats/2005/W
4,2006,30,36 of 36,5,13,24,1,10577,854,15875125,1,10.8,9.7,35,31,0,0,/season-stats/2006/W
5,2007,31,36 of 36,10,20,24,4,10318,1290,15313920,1,9.8,10.8,32,26,0,0,/season-stats/2007/W
6,2008,32,36 of 36,7,15,22,6,10643,1959,15170464,1,8.5,10.5,35,29,0,0,/season-stats/2008/W
7,2009,33,36 of 36,7,16,24,4,10298,2238,14388237,1,8.3,11.1,35,30,0,0,/season-stats/2009/W
8,2010,34,36 of 36,6,17,23,2,10418,1315,13393186,1,9.4,12.2,32,27,0,0,/season-stats/2010/W
9,2011,35,36 of 36,2,14,21,0,10560,1115,7599034,6,12.9,11.9,34,29,0,0,/season-stats/2011/W
10,2012,36,36 of 36,5,18,24,4,9924,1744,10469436,3,10.6,11.2,30,27,0,0,/season-stats/2012/W
11,2013,37,36 of 36,6,16,24,3,10306,1985,14663155,1,9.8,10.7,35,28,0,0,/season-stats/2013/W
12,2014,38,36 of 36,4,11,20,1,9893,1310,7632728,11,11.9,15.3,32,27,0,0,/season-stats/2014/W
13,2015,39,36 of 36,5,14,22,1,10207,558,8152877,10,12.1,12.8,35,28,0,0,/season-stats/2015/W
14,2016,40,36 of 36,5,11,16,1,10231,737,0,1,12.1,14.0,32,26,0,0,/season-stats/2016/W
15,2017,41,36 of 36,3,4,11,0,9955,217,0,10,16.9,16.8,29,25,0,0,/season-stats/2017/W
16,2018,42,36 of 36,0,2,11,0,9764,40,0,14,19.2,16.7,32,23,0,0,/season-stats/2018/W
17,2019,43,36 of 36,0,3,12,1,9798,131,0,18,13.5,17.4,32,21,0,0,/season-stats/2019/W
