,date,tavg,tmin,tmax,prcp,snow,wspd,pres,site
0,2002-02-17,14.4,7.2,21.1,0.0,0.0,10.4,1016.5604819277108,Daytona
1,2002-03-03,6.1,-0.6,12.8,0.0,0.0,10.4,1029.8,Las Vegas
2,2002-03-10,7.2,1.7,12.2,0.0,0.0,27.0,1029.2,Atlanta
3,2002-03-17,17.3,11.7,20.6,0.0,0.0,12.7,1020.5,Darlington
4,2002-03-24,7.2,-5.0,18.9,0.0,0.0,5.8,1019.4,Bristol
5,2002-04-08,17.2,11.7,22.2,0.0,0.0,12.6,1006.4,Fort Worth
6,2002-05-05,14.4,7.8,20.6,0.3,0.0,9.4,1026.1,Richmond
7,2002-05-26,22.2,13.9,30.0,0.0,0.0,8.6,1018.3,Charlotte
8,2002-06-16,15.3,11.1,20.0,0.0,0.0,15.5,1008.6,Michigan
9,2002-06-23,17.3,8.3,29.4,0.0,0.0,7.4,1014.6,Sonoma
10,2002-07-06,26.1,21.1,30.6,0.0,0.0,5.0,1016.5604819277108,Daytona
11,2002-07-14,24.4,16.1,31.1,0.0,0.0,8.7,1015.5,Chicago
12,2002-07-21,26.7,20.6,32.2,0.0,0.0,4.0,1017.4,Loudon
13,2002-08-04,30.0,23.9,35.6,0.0,0.0,9.4,1019.5,Indianapolis
14,2002-08-18,20.5,15.6,24.4,0.0,0.0,11.0,1013.7,Michigan
15,2002-08-24,26.1,20.6,31.7,6.4,0.0,6.5,1013.7,Bristol
16,2002-09-01,22.2,20.6,24.4,0.0,0.0,12.3,1020.9,Darlington
17,2002-09-07,21.1,15.0,27.2,0.0,0.0,6.8,1024.8,Richmond
18,2002-09-15,23.3,20.0,26.7,1.8,0.0,6.5,1016.7,Loudon
19,2002-09-29,24.4,15.6,33.3,0.0,0.0,20.2,1013.7,Kansas
20,2002-10-13,19.4,16.1,22.8,15.7,0.0,6.8,1019.3,Charlotte
21,2002-10-27,17.8,15.0,20.6,0.3,0.0,4.3,1018.2,Atlanta
22,2002-11-10,21.7,17.2,26.1,0.0,0.0,14.0,1012.4,Phoenix
23,2003-02-16,23.3,17.8,28.3,8.9,0.0,14.4,1016.5604819277108,Daytona
24,2003-03-02,8.3,2.8,13.9,0.0,0.0,12.2,1018.4,Las Vegas
25,2003-03-09,16.7,10.6,22.8,0.0,0.0,13.0,1014.9,Atlanta
26,2003-03-16,14.6,9.4,17.8,0.0,0.0,8.1,1012.0,Darlington
27,2003-03-23,9.4,1.7,17.2,0.0,0.0,2.9,1015.3,Bristol
28,2003-03-30,8.3,-0.6,17.2,0.0,0.0,9.4,1029.6,Fort Worth
29,2003-05-03,15.0,10.6,19.4,2.5,0.0,15.5,1015.2,Richmond
30,2003-05-25,21.7,17.8,25.0,14.0,0.0,5.0,1012.5,Charlotte
31,2003-06-15,20.4,13.3,26.7,0.0,0.0,9.3,1018.4,Michigan
32,2003-06-22,17.6,8.3,27.8,0.0,0.0,8.7,1008.7,Sonoma
33,2003-07-05,27.2,22.8,31.7,0.0,0.0,7.9,1016.5604819277108,Daytona
34,2003-07-13,23.0,16.7,28.3,0.0,0.0,7.4,1017.8,Chicago
35,2003-07-20,26.1,20.0,31.7,0.0,0.0,4.3,1015.4,Loudon
36,2003-08-03,22.2,17.8,26.7,25.4,0.0,7.6,1012.6,Indianapolis
37,2003-08-17,19.5,13.3,25.6,0.0,0.0,7.7,1017.4,Michigan
38,2003-08-23,25.0,19.4,30.0,0.0,0.0,4.3,1015.8,Bristol
39,2003-08-31,27.5,22.8,33.9,0.0,0.0,7.8,1022.8,Darlington
40,2003-09-06,18.9,13.9,23.9,0.0,0.0,9.4,1019.6,Richmond
41,2003-09-14,21.1,17.2,25.0,0.5,0.0,5.0,1018.1,Loudon
42,2003-10-05,17.8,11.1,24.4,0.0,0.0,13.7,1015.7,Kansas
43,2003-10-11,19.4,16.1,22.2,7.9,0.0,12.6,1017.3,Charlotte
44,2003-10-27,13.9,9.4,18.3,0.0,0.0,12.6,1011.6,Atlanta
45,2003-11-02,20.6,15.0,26.1,0.0,0.0,11.2,1010.5,Phoenix
46,2004-02-15,16.7,10.0,22.8,0.0,0.0,18.7,1016.5604819277108,Daytona
47,2004-03-07,16.7,9.4,23.9,0.0,0.0,11.9,1027.6,Las Vegas
48,2004-03-14,15.0,8.3,21.7,0.0,0.0,11.2,1025.5,Atlanta
49,2004-03-21,16.7,6.1,22.8,0.0,0.0,24.5,1014.9,Darlington
50,2004-03-28,16.7,7.8,25.6,0.0,0.0,4.0,1022.2,Bristol
51,2004-04-04,15.6,9.4,21.7,0.0,0.0,12.2,1016.5604819277108,Fort Worth
52,2004-05-15,25.0,18.9,31.1,0.0,0.0,18.4,1022.4,Richmond
53,2004-05-30,25.0,20.0,30.0,0.0,0.0,5.8,1013.1,Charlotte
54,2004-06-20,14.2,6.7,21.1,0.0,0.0,7.0,1019.8,Michigan
55,2004-06-27,20.3,10.6,31.1,0.0,0.0,10.0,1010.2,Sonoma
56,2004-07-03,27.2,21.1,33.3,42.2,0.0,6.1,1016.5604819277108,Daytona
57,2004-07-11,25.0,19.4,30.6,0.0,0.0,10.8,1014.8,Chicago
58,2004-07-25,26.7,21.1,31.7,11.4,0.0,7.9,1018.1,Loudon
59,2004-08-08,19.4,13.3,25.6,0.0,0.0,6.1,1020.0,Indianapolis
60,2004-08-15,18.0,11.0,24.0,0.0,0.0,7.1,1016.5604819277108,Watkins Glen
61,2004-08-22,17.0,8.0,24.4,0.0,0.0,11.1,1015.8,Michigan
62,2004-08-28,25.0,18.3,31.1,0.0,0.0,2.9,1016.6,Bristol
63,2004-09-11,23.3,18.9,27.8,0.0,0.0,9.0,1023.1,Richmond
64,2004-09-19,18.3,10.6,25.6,0.0,0.0,14.0,1021.6,Loudon
65,2004-10-10,15.9,11.0,21.0,0.0,0.0,14.0,1018.8,Kansas
66,2004-10-16,13.3,5.6,20.6,0.0,0.0,8.3,1008.9,Charlotte
67,2004-10-31,22.8,17.8,27.8,0.0,0.0,9.7,1017.8,Atlanta
68,2004-11-07,20.0,16.1,23.9,4.1,0.0,9.7,1014.3,Phoenix
69,2004-11-14,6.2,1.7,12.2,0.0,0.0,15.8,1037.4,Darlington
